"GEO_ID","NAME","B08006_001E","B08006_001M","B08006_002E","B08006_002M","B08006_003E","B08006_003M","B08006_004E","B08006_004M","B08006_005E","B08006_005M","B08006_006E","B08006_006M","B08006_007E","B08006_007M","B08006_008E","B08006_008M","B08006_009E","B08006_009M","B08006_010E","B08006_010M","B08006_011E","B08006_011M","B08006_012E","B08006_012M","B08006_013E","B08006_013M","B08006_014E","B08006_014M","B08006_015E","B08006_015M","B08006_016E","B08006_016M","B08006_017E","B08006_017M","B08006_018E","B08006_018M","B08006_019E","B08006_019M","B08006_020E","B08006_020M","B08006_021E","B08006_021M","B08006_022E","B08006_022M","B08006_023E","B08006_023M","B08006_024E","B08006_024M","B08006_025E","B08006_025M","B08006_026E","B08006_026M","B08006_027E","B08006_027M","B08006_028E","B08006_028M","B08006_029E","B08006_029M","B08006_030E","B08006_030M","B08006_031E","B08006_031M","B08006_032E","B08006_032M","B08006_033E","B08006_033M","B08006_034E","B08006_034M","B08006_035E","B08006_035M","B08006_036E","B08006_036M","B08006_037E","B08006_037M","B08006_038E","B08006_038M","B08006_039E","B08006_039M","B08006_040E","B08006_040M","B08006_041E","B08006_041M","B08006_042E","B08006_042M","B08006_043E","B08006_043M","B08006_044E","B08006_044M","B08006_045E","B08006_045M","B08006_046E","B08006_046M","B08006_047E","B08006_047M","B08006_048E","B08006_048M","B08006_049E","B08006_049M","B08006_050E","B08006_050M","B08006_051E","B08006_051M",
"1600000US0671246","Shaver Lake CDP, California","113","64","54","47","49","46","5","8","0","14","0","14","5","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","25","34","34","26","58","36","30","27","25","25","5","8","0","14","0","14","5","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","15","21","13","13","55","34","24","23","24","23","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","13","21","22",
"1600000US0671302","Sheep Ranch CDP, California","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0671362","Shell Ridge CDP, California","386","203","265","168","238","162","27","31","27","31","0","14","0","14","13","22","0","14","13","22","0","14","0","14","0","14","0","14","0","14","0","14","108","75","226","108","203","98","176","92","27","31","27","31","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","23","28","160","102","62","81","62","81","0","14","0","14","0","14","0","14","13","22","0","14","13","22","0","14","0","14","0","14","0","14","0","14","0","14","85","62",
"1600000US0671372","Shelter Cove CDP, California","245","133","181","130","170","128","11","13","11","13","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","37","66","0","14","27","26","197","124","147","115","143","115","4","8","4","8","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","37","66","0","14","13","20","48","40","34","38","27","36","7","11","7","11","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","14","16",
"1600000US0671414","Sheridan CDP, California","622","284","547","258","320","182","227","133","107","72","62","45","58","85","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","75","72","241","113","192","104","55","67","137","80","107","72","0","14","30","44","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","49","55","381","196","355","188","265","162","90","57","0","14","62","45","28","41","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","26","47",
"1600000US0671554","Shingle Springs CDP, California","1644","447","1104","361","1104","361","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","98","95","51","57","391","190","838","258","516","183","516","183","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","56","50","18","28","248","172","806","253","588","227","588","227","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","42","48","33","54","143","92",
"1600000US0671568","Shingletown CDP, California","784","282","600","273","506","233","94","75","85","76","9","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","16","0","14","174","99","333","149","260","138","238","136","22","25","22","25","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","16","0","14","63","46","451","224","340","213","268","197","72","71","63","71","9","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","111","95",
"1600000US0671680","Shoshone CDP, California","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0671774","Sierra Brooks CDP, California","98","87","98","87","63","76","35","47","35","47","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","63","76","63","76","63","76","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","35","47","35","47","0","14","35","47","35","47","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0671778","Sierra City CDP, California","103","74","74","67","74","67","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","29","37","63","62","63","62","63","62","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","44","11","19","11","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","29","37",
"1600000US0671806","Sierra Madre city, California","5912","518","4099","526","3846","487","253","187","190","162","63","89","0","21","161","228","9","22","152","227","0","21","0","21","0","21","23","32","52","58","140","108","1437","373","2968","427","1963","339","1892","335","71","62","39","38","32","45","0","21","152","227","0","21","152","227","0","21","0","21","0","21","23","32","43","56","79","80","708","209","2944","331","2136","330","1954","310","182","161","151","154","31","44","0","21","9","22","9","22","0","21","0","21","0","21","0","21","0","21","9","15","61","71","729","234",
"1600000US0671834","Sierra Village CDP, California","37","40","37","40","37","40","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","37","40","37","40","37","40","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
